commentId,likeCount,publishDate,text
UgxrpCn0-c3iK82m5LR4AaABAg,0,2025-05-05T22:26:31Z,Sou brasileiro mas seria uma maravilha poder conhecer você
Ugy45WLa7RR3QWgd21x4AaABAg,1,2025-05-05T20:03:35Z,Essa dói
UgxniiAQYrs315TbWyh4AaABAg,0,2025-05-05T18:48:40Z,Welcome Pakistan
Ugykd-FmZimtMyHccWZ4AaABAg,20900,2025-04-22T16:33:35Z,green got robbed lol
Ugy8XmayJLjmpFAmGIZ4AaABAg,0,2025-05-06T20:07:17Z,I am your fan
Ugw00JanACWjdXtMeRZ4AaABAg,0,2025-05-06T19:23:08Z,help
Ugw9yiaFrzG9rq1mFJ14AaABAg,0,2025-05-06T15:49:55Z,Hello sar 😢😢😢😢😢😢😢😢😢
UgzrEW4hYGgRHCfJwrt4AaABAg,0,2025-05-06T11:31:01Z,Бист когда забыл имена
UgxFWPdi6vmfZaEme0V4AaABAg,0,2025-05-06T10:42:24Z,"Kimler türk
👇
👇
👇"
UgxU5Vq4YslS-PcBw7x4AaABAg,0,2025-05-06T10:31:15Z,"Aku,minta,hp,dong,pls❤❤"
UgxEi7VnOJmylHpEyCV4AaABAg,0,2025-05-06T10:10:27Z,Red😢
Ugz9-FXku9JbEr532KF4AaABAg,0,2025-05-06T09:56:24Z,ssouy
UgzwHlv25yUgQn7Th8t4AaABAg,0,2025-05-06T07:48:32Z,هيوه
Ugwm0pGkwy2QMJg_2KJ4AaABAg,0,2025-05-06T06:29:44Z,А что произошло с красным? Два
UgyAVeHe4xjIXiRErh94AaABAg,0,2025-05-06T06:24:32Z,Very nice
UgzvHCNLjnPU0LcNebl4AaABAg,0,2025-05-06T01:04:29Z,Nooooooooooooooooooooooooooooooooo😊😊😊😊😊😊😊😊😊😊😊
UgyauHGNyH3KSaQNF_t4AaABAg,0,2025-05-06T00:48:53Z,F for red 🔴
UgxA5g8l_iXaox--Xt94AaABAg,0,2025-05-06T00:33:37Z,Wow congress 🎉🎉🎉🎉🎉
UgxQwGRSB8fycNBPAlt4AaABAg,0,2025-05-05T21:40:56Z,I think green was the best
Ugx7iY46Pu5RHWMQXh54AaABAg,0,2025-05-05T19:02:54Z,"22,100 dollars spent in less than 1 minute"
Ugy0y0EIlzSZaGTINtB4AaABAg,0,2025-05-05T18:32:33Z,Si fueras bueno me mandarías dinero para mis medicinas
Ugyf34J0a-vM7NvXJ9x4AaABAg,0,2025-05-05T18:26:11Z,Welcome Pakistan ❤❤❤
UgwQhwlt86Go_zzI2lh4AaABAg,0,2025-05-05T16:59:56Z,lol me thinking red was ryan trahan
UgwEFCc6kMbCQ3L14-d4AaABAg,0,2025-05-05T16:38:39Z,👍🩶
UgyzBv7dDO0RQO70iRJ4AaABAg,0,2025-05-05T16:11:53Z,😮😢
UgxhNx0DQm6K0p-avYl4AaABAg,0,2025-05-05T15:41:59Z,what?
Ugz9L6wBApo4g8qK5eR4AaABAg,1,2025-05-05T15:16:03Z,"Türkler buradamı
👇"
UgzMpGoaa7Pq56d5b694AaABAg,0,2025-05-05T15:11:01Z,They falled backrooms?
Ugxu28ibF6GDCQEsIO14AaABAg,0,2025-05-05T14:52:38Z,Mister bich Mein aapka subscriber aap mujhe Samsung de do
UgyESHYgXH5BO8mS3Kp4AaABAg,0,2025-05-05T14:21:43Z,жалко того кто упал...
Ugw0wif8QrfnO30rjdd4AaABAg,0,2025-05-05T14:14:31Z,bro is failur
Ugw2Bf72603GevTIrA14AaABAg,0,2025-05-05T14:05:48Z,The purple one cheated because she grabbed the wood
Ugx2-zwPRO2T9bU_NWx4AaABAg,0,2025-05-05T13:47:30Z,Voglio partecipare a un tuo video
UgxR1HYrE4u-e2_LlGh4AaABAg,15434,2025-04-16T16:59:52Z,Subscribe if you could do this!
UgyFmpCXCpx3UAQ5Zt94AaABAg,0,2025-05-06T19:23:30Z,help
UgzT7-twFeADz4-tq4V4AaABAg,0,2025-05-06T18:28:35Z,Turbo sound 💀
